WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((666089 6799885,666089 6806505,672709 6806505,672709 6799885,666089 6799885)))",151,94_style1,666089.000000000000000,6799885.000000000000000,672709.000000000000000,6806505.000000000000000
"MULTIPOLYGON (((666089 6819745,666089 6826365,672709 6826365,672709 6819745,666089 6819745)))",154,94_style1,666089.000000000000000,6819745.000000000000000,672709.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((666089 6826365,666089 6832985,672709 6832985,672709 6826365,666089 6826365)))",155,94_style1,666089.000000000000000,6826365.000000000000000,672709.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((672709 6806505,672709 6813125,679329 6813125,679329 6806505,672709 6806505)))",173,94_style1,672709.000000000000000,6806505.000000000000000,679329.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((672709 6832985,672709 6839605,679329 6839605,679329 6832985,672709 6832985)))",177,94_style1,672709.000000000000000,6832985.000000000000000,679329.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((685949 6819745,685949 6826365,692569 6826365,692569 6819745,685949 6819745)))",217,94_style1,685949.000000000000000,6819745.000000000000000,692569.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((705809 6819745,705809 6826365,712429 6826365,712429 6819745,705809 6819745)))",280,94_style1,705809.000000000000000,6819745.000000000000000,712429.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((639609 6826365,639609 6832985,646229 6832985,646229 6826365,639609 6826365)))",71,94_style1,639609.000000000000000,6826365.000000000000000,646229.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((639609 6832985,639609 6839605,646229 6839605,646229 6832985,639609 6832985)))",72,94_style1,639609.000000000000000,6832985.000000000000000,646229.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((639609 6839605,639609 6846225,646229 6846225,646229 6839605,639609 6839605)))",73,94_style1,639609.000000000000000,6839605.000000000931323,646229.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((646229 6832985,646229 6839605,652849 6839605,652849 6832985,646229 6832985)))",93,94_style1,646229.000000000000000,6832985.000000000000000,652849.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((646229 6839605,646229 6846225,652849 6846225,652849 6839605,646229 6839605)))",94,94_style1,646229.000000000000000,6839605.000000000931323,652849.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((672709 6839605,672709 6846225,679329 6846225,679329 6839605,672709 6839605)))",178,94_style1,672709.000000000000000,6839605.000000000931323,679329.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((679329 6839605,679329 6846225,685949 6846225,685949 6839605,679329 6839605)))",199,94_style1,679329.000000000000000,6839605.000000000931323,685949.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((679329 6846225,679329 6852845,685949 6852845,685949 6846225,679329 6846225)))",200,94_style1,679329.000000000000000,6846225.000000000000000,685949.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((679329 6852845,679329 6859465,685949 6859465,685949 6852845,679329 6852845)))",201,94_style1,679329.000000000000000,6852845.000000000000000,685949.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((712429 6826365,712429 6832985,719049 6832985,719049 6826365,712429 6826365)))",302,94_style1,712429.000000000000000,6826365.000000000000000,719049.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((712429 6839605,712429 6846225,719049 6846225,719049 6839605,712429 6839605)))",304,94_style1,712429.000000000000000,6839605.000000000931323,719049.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((725669 6846225,725669 6852845,732289 6852845,732289 6846225,725669 6846225)))",347,94_style1,725669.000000000000000,6846225.000000000000000,732289.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((738909 6846225,738909 6852845,745529 6852845,745529 6846225,738909 6846225)))",389,94_style1,738909.000000000000000,6846225.000000000000000,745529.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((772009 6859465,772009 6866085,778629 6866085,778629 6859465,772009 6859465)))",496,94_style1,772009.000000000000000,6859465.000000000000000,778629.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((785249 6852845,785249 6859465,791869 6859465,791869 6852845,785249 6852845)))",537,94_style1,785249.000000000000000,6852845.000000000000000,791869.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((666089 6806505,666089 6813125,672709 6813125,672709 6806505,666089 6806505)))",152,94_style1,666089.000000000000000,6806505.000000000000000,672709.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((666089 6813125,666089 6819745,672709 6819745,672709 6813125,666089 6813125)))",153,94_style1,666089.000000000000000,6813125.000000000000000,672709.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((692569 6846225,692569 6852845,699189 6852845,699189 6846225,692569 6846225)))",242,94_style1,692569.000000000000000,6846225.000000000000000,699189.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((692569 6852845,692569 6859465,699189 6859465,699189 6852845,692569 6852845)))",243,94_style1,692569.000000000000000,6852845.000000000000000,699189.000000000000000,6859465.000000000000000
